018955-RA	Protein of unknown function
018956-RA	cryg1 Gamma-crystallin-1 (Xenopus laevis OX=8355)
018957-RA	Protein of unknown function
003514-RA	Saxiphilin (Lithobates catesbeiana OX=8400)
003515-RA	tf-b Serotransferrin-B (Xenopus laevis OX=8355)
003516-RA	SRPRB Signal recognition particle receptor subunit beta (Homo sapiens OX=9606)
003517-RA	RAB6B Ras-related protein Rab-6B (Bos taurus OX=9913)
003518-RA	Slco2a1 Solute carrier organic anion transporter family member 2A1 (Rattus norvegicus OX=10116)
003519-RA	Amotl2 Angiomotin-like protein 2 (Mus musculus OX=10090)
003520-RA	cep63-a Centrosomal protein of 63 kDa-A (Xenopus laevis OX=8355)
003521-RA	Ky Kyphoscoliosis peptidase (Mus musculus OX=10090)
003522-RA	Ky Kyphoscoliosis peptidase (Mus musculus OX=10090)
003523-RA	Ky Kyphoscoliosis peptidase (Mus musculus OX=10090)
009536-RA	Protein of unknown function
009537-RA	Protein of unknown function
009537-RB	Protein of unknown function
009538-RA	Megf6 Multiple epidermal growth factor-like domains protein 6 (Mus musculus OX=10090)
009539-RA	FH5 Formin-like protein 5 (Oryza sativa subsp. japonica OX=39947)
014952-RA	Protein of unknown function
014953-RA	Uts2r Urotensin-2 receptor (Rattus norvegicus OX=10116)
017548-RA	CARTPT Cocaine- and amphetamine-regulated transcript protein (Homo sapiens OX=9606)
017549-RA	Protein of unknown function
014730-RA	kcnk9 Potassium channel subfamily K member 9 (Xenopus laevis OX=8355)
008471-RA	Protein of unknown function
008470-RA	Protein of unknown function
008470-RB	Protein of unknown function
008470-RC	Protein of unknown function
008472-RA	Protein of unknown function
008473-RA	Protein of unknown function
008474-RB	Protein of unknown function
008474-RA	Protein of unknown function
008475-RA	Protein of unknown function
008477-RA	Protein of unknown function
008476-RA	Protein of unknown function
007237-RA	MCOLN3 Mucolipin-3 (Homo sapiens OX=9606)
007238-RA	WDR63 WD repeat-containing protein 63 (Homo sapiens OX=9606)
007239-RA	WDR63 WD repeat-containing protein 63 (Homo sapiens OX=9606)
007240-RA	SYDE2 Rho GTPase-activating protein SYDE2 (Homo sapiens OX=9606)
007241-RA	UPF0690 protein C1orf52 homolog B (Xenopus laevis OX=8355)
007242-RA	BCL10 B-cell lymphoma/leukemia 10 (Homo sapiens OX=9606)
007243-RA	CCN1 CCN family member 1 (Gallus gallus OX=9031)
016391-RA	tbx5 T-box transcription factor TBX5 (Xenopus laevis OX=8355)
014985-RA	EMP2 Epithelial membrane protein 2 (Bos taurus OX=9913)
018778-RA	OR10C1 Olfactory receptor 10C1 (Homo sapiens OX=9606)
